Zona,Lat,Long,Ficha
A-1,18.48263,-69.92171,A-0101
A-3,18.43633,-69.97636,A-0102
A-1,18.49235,-69.89953,A-0103
A-2,18.524932,-70.01842,A-0104
A-2,18.53773,-70.02113,A-0105
B-1,18.47778,-69.83226,A-0106
A-1,18.4603,-69.92649,A-0107
B-1,18.510346,-69.865315,A-0108
A-3,18.52175,-69.9896,A-0109
A-3,18.478177,-69.979311,A-0110
B-2,18.51612,-69.91438,A-0111
B-2,18.55607,-69.933403,A-0112
B-2,18.548034,-69.901272,A-0113
B-3,18.52994,-69.82033,A-0114
B-3,18.47781,-69.75363,A-0115
B-3,18.521495,-69.744585,A-0116
B-3,18.45514,-69.61124,A-0117
A-1,18.47351,-69.89201,B-0101
A-1,18.462715,-69.909378,B-0102
A-1,18.45108,-69.92448,B-0103
A-3,18.43634,-69.96366,B-0104
A-3,18.44221,-70.0029,B-0105
A-3,18.476044,-69.945473,B-0106
A-1,18.48407,-69.91469,B-0107
A-1,18.48063,-69.90222,B-0108
A-1,18.5048,-69.88432,B-0109
A-1,18.495924,-69.924806,B-0110
A-3,18.49463,-69.96411,B-0111
B-1,18.47778,-69.83226,B-0112
A-3,18.432015,-69.988743,B-0114
A-1,18.49517,-69.883471,B-0115
A-2,18.52343,-70.03726,B-0117
A-2,18.5665,-70.08627,B-0118
B-1,18.46928,-69.85265,B-0119
A-3,18.45959,-69.954962,B-0120
A-1,18.48814,-69.88337,B-0121
A-1,18.501297,-69.9452,B-0122
A-3,18.46426,-69.9406,B-0124
A-2,18.51833,-70.04522,B-0125
A-2,18.53773,-70.02113,B-0126
A-3,18.437809,-69.942348,B-0127
A-2,18.54736,-70.04247,B-0128
A-3,18.448499,-69.979085,B-0129
A-2,18.53687,-69.99125,B-0130
A-2,18.52969,-70.01427,B-0131
A-1,18.50783,-69.91733,B-0133
A-2,18.64964,-70.06149,B-0134
A-3,18.44324,-70.00161,B-0135
A-3,18.42967,-70.001378,B-0136
B-1,18.47042,-69.8734,B-0137
B-1,18.487828,-69.872423,B-0138
B-1,18.508779,-69.839764,B-0139
B-1,18.51392,-69.8324,B-0140
B-1,18.518442,-69.881521,B-0141
B-1,18.505227,-69.859133,B-0142
B-2,18.53033,-69.86594,B-0143
B-2,18.539249,-69.901393,B-0144
B-2,18.545349,-69.931857,B-0145
B-2,18.5452,-69.86639,B-0146
B-2,18.565953,-69.909449,B-0147
B-2,18.597642,-69.839852,B-0148
B-2,18.536485,-69.941642,B-0149
B-2,18.548034,-69.901272,B-0150
B-2,18.584815,-69.953687,B-0151
B-2,18.540966,-69.927046,B-0152
B-3,18.479464,-69.810794,B-0153
B-3,18.527259,-69.756045,B-0154
B-3,18.522012,-69.81559,B-0155
B-3,18.533749,-69.802641,B-0156
B-3,18.493671,-69.809437,B-0157
B-3,18.44657,-69.6331,B-0158
B-3,18.458248,-69.690119,B-0159
A-3,18.477688,-69.996442,CRD-0113
A-3,18.47899,-70.04361,CRD-0116
A-3,18.484667,-69.974784,CRD-0123
A-1,18.50105,-69.89833,CRD-0132
B-1,18.50942,-69.87478,CRD-0160
B-3,18.506937,-69.81846,CRD-0161
B-3,18.480974,-69.776319,CRD-0162